Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,15082,15A ,RENNER SPRINGS                          ,Jan-53,       ,-18.3177,133.7947,GPS            ,NT ,262.4,      ,     ,1953,2014,36,99,  *,0,1,0,#
st,15085,15A ,BRUNETTE DOWNS                          ,01/1891,       ,-18.637,135.945,GPS            ,NT ,218,219,94242,1891,2015,92,99,1,  *,  *,0,#
st,15086,15A ,NEWCASTLE WATERS                        ,01/1889,       ,-17.3785,133.4103,GPS            ,NT ,209,      ,     ,1889,2015,93,99,1,0,  *,0,#
st,15088,15A ,ALEXANDRIA                              ,01/1886,       ,-19.0577,136.7065,GPS            ,NT ,274,      ,     ,1886,2014,88,99,  *,0,  *,0,#
st,15103,15A ,UCHARONIDGE                             ,Jan-63,       ,-17.6744,134.251,GPS            ,NT ,253,      ,     ,1963,2014,82,99,  *,0,1,0,#
st,15108,15A ,MUCKATY                                 ,Oct-43,       ,-18.6284,133.872,GPS            ,NT ,280,      ,     ,1943,2009,88,97,3,0,  *,0,#
st,15114,15A ,PHILLIP CREEK                           ,Sep-66,       ,-19.2738,134.1235,GPS            ,NT ,350,      ,     ,1966,2014,82,99,0,0,  *,0,#
st,15123,15A ,BRUNCHILLY                              ,Jan-68,       ,-18.8693,134.4987,GPS            ,NT ,250,      ,     ,1968,2015,88,99,  *,  *,  *,0,#
st,15125,15A ,MITTIEBAH                               ,Jan-68,       ,-18.8052,137.0879,GPS            ,NT ,268,      ,     ,1968,2015,99,99,  *,0,  *,0,#
st,15129,15A ,THREEWAYS ROADHOUSE                     ,Jan-69,       ,-19.4376,134.2088,GPS            ,NT ,328,      ,     ,1969,2009,44,99,0,0,1,0,#
st,15131,15A ,ELLIOTT                                 ,Jan-49,       ,-17.5552,133.5439,GPS            ,NT ,220,223,94236,1949,2015,79,98,2,  *,  *,0,#
st,15135,15A ,TENNANT CREEK AIRPORT                   ,Jan-69,       ,-19.6423,134.1833,GPS            ,NT ,375.7,377.1,94238,1969,2015,100,99,  *,0,  *,0,#
st,15139,15A ,WARRAMUNGA                              ,Feb-71,       ,-19.9331,134.355,GPS            ,NT ,381,      ,     ,1971,2015,96,99,1,0,  *,0,#
st,15145,15A ,BARKLY HOMESTEAD                        ,Jan-85,       ,-19.7111,135.8259,GPS            ,NT ,230,      ,     ,1987,2010,71,99,1,0,  *,0,#
st,15147,15A ,WALHALLOW                               ,Aug-74,       ,-17.7838,135.6635,GPS            ,NT ,235,      ,     ,1919,2015,31,96,3,0,  *,0,#
st,15150,14DE,KIANA                                   ,May-85,       ,-17.2425,136.1821,GPS            ,NT ,232,      ,     ,1985,2015,71,99,1,0,  *,0,#
st,15501,15B ,YAMBAH                                  ,Jan-68,       ,-23.1274,133.836,GPS            ,NT ,700,      ,     ,1968,2015,99,99,1,0,  *,0,#
st,15502,15B ,ALI CURUNG                              ,Mar-67,       ,-21.0025,134.4029,GPS            ,NT ,375,376.2,94325,1967,2014,67,96,4,  *,  *,0,#
st,15503,15B ,MOUNT RIDDOCK                           ,Jan-66,       ,-23.0364,134.6801,GPS            ,NT ,606,      ,     ,1966,2014,88,99,  *,0,  *,0,#
st,15507,15B ,PINE HILL                               ,Jan-67,       ,-22.3854,133.0522,GPS            ,NT ,658,      ,     ,1967,2015,53,99,0,0,1,0,#
st,15508,15B ,ALLAMBI                                 ,Jan-68,       ,-24.2691,134.4028,GPS            ,NT ,366,      ,     ,1968,2015,99,99,0,0,  *,0,#
st,15510,15B ,MOUNT CAVENAGH                          ,Mar-39,       ,-25.9551,133.211,GPS            ,NT ,524,      ,     ,1939,2015,85,99,  *,0,  *,0,#
st,15511,15B ,CURTIN SPRINGS                          ,Jan-53,       ,-25.3139,131.7571,GPS            ,NT ,489.6,491.1,94463,1953,2015,97,99,  *,  *,  *,0,#
st,15515,15B ,AMBURLA                                 ,Jan-68,       ,-23.3432,133.1721,GPS            ,NT ,685,      ,     ,1968,2010,52,98,  *,0,1,0,#
st,15518,15B ,NAPPERBY                                ,Jan-66,       ,-22.5096,132.7525,GPS            ,NT ,652,      ,     ,1955,2014,99,98,2,0,  *,0,#
st,15519,15B ,PALMER VALLEY                           ,Jan-53,       ,-24.7495,133.2317,GPS            ,NT ,418,      ,     ,1953,2014,65,99,0,0,  *,0,#
st,15521,15B ,THE GARDEN                              ,Jan-54,       ,-23.2837,134.4229,GPS            ,NT ,678,      ,     ,1954,2015,99,99,  *,0,  *,0,#
st,15523,15B ,GLEN HELEN                              ,Jan-41,       ,-23.4062,132.2437,GPS            ,NT ,669,      ,     ,1941,2015,87,99,  *,0,1,0,#
st,15524,15B ,IDRACOWRA                               ,Jan-50,       ,-24.9949,133.7876,GPS            ,NT ,366,      ,     ,1888,2014,72,99,  *,0,  *,0,#
st,15525,15B ,BARROW CREEK                            ,01/1874,       ,-21.5317,133.8901,GPS            ,NT ,510.5,512,     ,1874,2015,86,99,  *,  *,  *,0,#
st,15528,15B ,YUENDUMU                                ,Jan-52,       ,-22.2565,131.8011,GPS            ,NT ,667,668,94324,1952,2015,98,96,1,  *,3,0,#
st,15530,15B ,ELKEDRA                                 ,Jan-44,       ,-21.1661,135.446,GPS            ,NT ,356,      ,     ,1944,2011,93,99,0,0,  *,0,#
st,15531,15B ,HERMANNSBURG                            ,01/1888,       ,-23.9435,132.7775,GPS            ,NT ,565,      ,     ,1888,2015,82,99,  *,0,  *,0,#
st,15534,15B ,OORATIPPRA                              ,Nov-50,       ,-21.9041,136.0741,GPS            ,NT ,326,      ,     ,1950,2015,71,99,  *,0,  *,0,#
st,15535,15B ,CONISTON                                ,Jan-48,       ,-22.0498,132.495,GPS            ,NT ,680,      ,     ,1948,2015,92,98,2,0,  *,0,#
st,15536,15B ,MARYVALE                                ,Jan-48,       ,-24.6685,134.0721,GPS            ,NT ,365,      ,     ,1948,2014,62,99,1,0,  *,0,#
st,15537,15B ,KURUNDI                                 ,Jan-34,       ,-20.5003,134.662,GPS            ,NT ,400,      ,     ,1934,2015,73,99,  *,0,1,0,#
st,15542,15B ,ANNINGIE                                ,Jan-41,       ,-21.8481,133.1228,GPS            ,NT ,556,      ,     ,1941,2015,85,99,  *,0,  *,0,#
st,15543,15B ,AILERON                                 ,May-49,       ,-22.6459,133.3457,GPS            ,NT ,684,      ,     ,1949,2009,90,95,5,0,  *,0,#
st,15545,15B ,HARTS RANGE POLICE                      ,Jan-48,       ,-22.9783,134.9173,GPS            ,NT ,628,      ,     ,1948,2010,52,99,1,0,  *,0,#
st,15546,15B ,RINGWOOD                                ,May-64,       ,-23.8287,134.9556,GPS            ,NT ,416,      ,     ,1954,2005,98,99,  *,0,  *,0,#
st,15547,15B ,NEW MACDONALD DOWNS                     ,Jan-33,       ,-22.6134,135.0359,GPS            ,NT ,493,      ,     ,1933,2014,40,99,1,0,  *,0,#
